KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type,Arg1 terms,Arg2 terms
,,,,,,,,
gpe:organizations_founded,0,,,,,,,
gpe:holds_shares_in,0,,,,,,,
gpe:employees_or_members,0,,,,,,,
gpe:member_of,0,,,,,,,
gpe:subsidiaries,0,,,,,,,
,,,,,,,,
gpe:deaths_in_city,9,died,in,arg2,arg1,Person,,
gpe:deaths_in_city,9,died,at,arg2,arg1,Person,,
gpe:deaths_in_city,9,die,in,arg2,arg1,Person,,
gpe:deaths_in_city,9,die,at,arg2,arg1,Person,,
gpe:deaths_in_city,9,dies,in,arg2,arg1,Person,,
gpe:deaths_in_city,9,dies,at,arg2,arg1,Person,,
gpe:deaths_in_city,9,dying,in,arg2,arg1,Person,,
gpe:deaths_in_city,9,dying,at,arg2,arg1,Person,,
,,,,,,,,
,,,,,,,,
gpe:deaths_in_country,9,died,in,arg2,arg1,Person,,
gpe:deaths_in_country,9,died,at,arg2,arg1,Person,,
gpe:deaths_in_country,9,die,in,arg2,arg1,Person,,
gpe:deaths_in_country,9,die,at,arg2,arg1,Person,,
gpe:deaths_in_country,9,dies,in,arg2,arg1,Person,,
gpe:deaths_in_country,9,dies,at,arg2,arg1,Person,,
,,,,,,,,
,,,,,,,,
gpe:deaths_in_stateorprovince,9,died,in,arg2,arg1,Person,,
gpe:deaths_in_stateorprovince,9,died,at,arg2,arg1,Person,,
gpe:deaths_in_stateorprovince,9,die,in,arg2,arg1,Person,,
gpe:deaths_in_stateorprovince,9,die,at,arg2,arg1,Person,,
gpe:deaths_in_stateorprovince,9,dies,in,arg2,arg1,Person,,
gpe:deaths_in_stateorprovince,9,dies,at,arg2,arg1,Person,,
gpe:deaths_in_stateorprovince,9,dying,in,arg2,arg1,Person,,
gpe:deaths_in_stateorprovince,9,dying,at,arg2,arg1,Person,,
,,,,,,,,
,,,,,,,,
gpe:births_in_city,9,born,in,arg2,arg1,Person,,
gpe:births_in_city,9,born,,arg2,arg1,Person,,
gpe:births_in_city,9,native of,,arg2,arg1,Person,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
gpe:births_in_country,9,born,in,arg2,arg1,Person,,
gpe:births_in_country,9,born,,arg2,arg1,Person,,
gpe:births_in_country,9,native of,,arg2,arg1,Person,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
gpe:births_in_stateorprovince,9,born,in,arg2,arg1,Person,,
gpe:births_in_stateorprovince,9,born,,arg2,arg1,Person,,
gpe:births_in_stateorprovince,9,native of,,arg2,arg1,Person,,
,,,,,,,,
,,,,,,,,
gpe:residents_of_city,9,lived,in,arg2,arg1,Person,,
gpe:residents_of_city,9,came,from,arg2,arg1,Person,,
gpe:residents_of_city,9,be,from,arg2,arg1,Person,,
gpe:residents_of_city,9,grew up,in,arg2,arg1,Person,,
gpe:residents_of_city,9,die,at,arg2,arg1,Person,,
gpe:residents_of_city,9,<JobTitle> of,,arg2,arg1,Person,,
gpe:residents_of_city,9,raised,in,arg2,arg1,Person,,
gpe:residents_of_city,9,lived,City,arg2,arg1,Person,,
gpe:residents_of_city,9,live,in,arg2,arg1,Person,,
gpe:residents_of_city,9,lives,in,arg2,arg1,Person,,
gpe:residents_of_city,9,living,in,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_city,9,is,from,arg2,arg1,Person,,
gpe:residents_of_city,9,was,from,arg2,arg1,Person,,
gpe:residents_of_city,9,being,from,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_city,9,grow up,in,arg2,arg1,Person,,
gpe:residents_of_city,9,growing up,in,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_city,9,died,at,arg2,arg1,Person,,home
gpe:residents_of_city,9,dies,at,arg2,arg1,Person,,home
gpe:residents_of_city,9,dying,at,arg2,arg1,Person,,home
,,,,,,,,
gpe:residents_of_city,9,live,City,arg2,arg1,Person,,
gpe:residents_of_city,9,lives,City,arg2,arg1,Person,,
gpe:residents_of_city,9,living,City,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_country,9,lived,in,arg2,arg1,Person,,
gpe:residents_of_country,9,came,from,arg2,arg1,Person,,
gpe:residents_of_country,9,be,from,arg2,arg1,Person,,
gpe:residents_of_country,9,grew up,in,arg2,arg1,Person,,
gpe:residents_of_country,9,die,at,arg2,arg1,Person,,home
gpe:residents_of_country,9,<JobTitle> of,,arg2,arg1,Person,,
gpe:residents_of_country,9,raised,in,arg2,arg1,Person,,
gpe:residents_of_country,9,lived,Country,arg2,arg1,Person,,
gpe:residents_of_country,9,live,in,arg2,arg1,Person,,
gpe:residents_of_country,9,lives,in,arg2,arg1,Person,,
gpe:residents_of_country,9,living,in,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_country,9,is,from,arg2,arg1,Person,,
gpe:residents_of_country,9,was,from,arg2,arg1,Person,,
gpe:residents_of_country,9,being,from,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_country,9,grow up,in,arg2,arg1,Person,,
gpe:residents_of_country,9,growing up,in,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_country,9,died,at,arg2,arg1,Person,,home
gpe:residents_of_country,9,dies,at,arg2,arg1,Person,,home
gpe:residents_of_country,9,dying,at,arg2,arg1,Person,,home
,,,,,,,,
gpe:residents_of_country,9,live,Country,arg2,arg1,Person,,
gpe:residents_of_country,9,lives,Country,arg2,arg1,Person,,
gpe:residents_of_country,9,living,Country,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_stateorprovince,9,lived,in,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,came,from,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,be,from,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,grew up,in,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,die,at,arg2,arg1,Person,,home
gpe:residents_of_stateorprovince,9,<JobTitle> of,,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,raised,in,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,lived,Stateorprovince,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,live,in,arg2,arg1,Person,,
